match_id,season_id,match_date,home_team_id,away_team_id,full_time_home_goals,full_time_away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result
355,1,2016-05-01,26,16,3,1,H,2,0,H
356,1,2016-05-02,8,27,2,2,D,0,2,A
357,1,2016-05-07,2,20,0,0,D,0,0,D
358,1,2016-05-07,3,29,1,1,D,0,1,A
359,1,2016-05-07,9,24,2,1,H,0,1,A
360,1,2016-05-07,15,10,3,1,H,2,0,H
361,1,2016-05-07,21,18,0,1,A,0,0,D
362,1,2016-05-07,25,8,3,2,H,1,2,A
363,1,2016-05-07,30,26,1,4,A,0,2,A
364,1,2016-05-08,16,28,2,0,H,1,0,H
365,1,2016-05-08,17,1,2,2,D,1,1,D
366,1,2016-05-08,27,23,1,2,A,1,1,D
367,1,2016-05-10,30,18,3,2,H,1,0,H
368,1,2016-05-11,16,8,1,1,D,0,1,A
369,1,2016-05-11,21,28,4,2,H,3,1,H
370,1,2016-05-11,25,10,3,0,H,2,0,H
371,1,2016-05-15,1,2,4,0,H,1,0,H
372,1,2016-05-15,8,15,1,1,D,0,0,D
373,1,2016-05-15,10,21,3,0,H,2,0,H
374,1,2016-05-15,20,27,5,1,H,2,0,H
375,1,2016-05-15,23,9,4,1,H,1,0,H
376,1,2016-05-15,24,30,2,1,H,0,1,A
377,1,2016-05-15,26,17,1,1,D,1,1,D
378,1,2016-05-15,28,25,2,2,D,0,1,A
379,1,2016-05-15,29,16,1,1,D,1,1,D
380,1,2016-05-17,18,3,3,1,H,1,0,H
381,2,2016-08-13,6,26,0,1,A,0,0,D
382,2,2016-08-13,9,29,0,1,A,0,0,D
383,2,2016-08-13,10,27,1,1,D,1,0,H
384,2,2016-08-13,13,15,2,1,H,1,0,H
385,2,2016-08-13,17,25,2,1,H,1,0,H
386,2,2016-08-13,19,24,1,1,D,1,0,H
387,2,2016-08-13,23,28,1,1,D,0,1,A
388,2,2016-08-14,1,16,3,4,A,1,1,D
389,2,2016-08-14,3,18,1,3,A,0,1,A
390,2,2016-08-15,8,30,2,1,H,0,0,D
391,2,2016-08-19,18,23,2,0,H,1,0,H
392,2,2016-08-20,6,16,2,0,H,2,0,H
393,2,2016-08-20,15,1,0,0,D,0,0,D
394,2,2016-08-20,24,17,1,4,A,0,2,A
395,2,2016-08-20,26,13,0,2,A,0,0,D
396,2,2016-08-20,27,9,1,0,H,0,0,D
397,2,2016-08-20,28,8,1,2,A,0,0,D
398,2,2016-08-20,29,10,1,2,A,1,1,D
399,2,2016-08-21,25,19,1,2,A,0,2,A
400,2,2016-08-21,30,3,1,0,H,0,0,D
401,2,2016-08-27,8,6,3,0,H,2,0,H
402,2,2016-08-27,9,3,1,1,D,0,1,A
403,2,2016-08-27,10,24,1,0,H,0,0,D
404,2,2016-08-27,13,18,0,1,A,0,0,D
405,2,2016-08-27,15,26,2,1,H,1,0,H
