app_match_id,statsbomb_match_id,match_date,home_team,away_team,season,method
339,3754284,2016-04-21,arsenal,west brom,2015/2016,exact_key
286,3754289,2016-03-05,watford,leicester,2015/2016,exact_key
243,3754290,2016-02-06,man city,leicester,2015/2016,exact_key
244,3754292,2016-02-06,newcastle,west brom,2015/2016,exact_key
336,3754294,2016-04-20,liverpool,everton,2015/2016,exact_key
172,3754248,2015-12-26,bournemouth,crystal palace,2015/2016,exact_key
313,3754299,2016-04-03,man united,everton,2015/2016,exact_key
247,3754303,2016-02-06,swansea,crystal palace,2015/2016,exact_key
205,3754305,2016-01-13,liverpool,arsenal,2015/2016,exact_key
241,3754306,2016-02-06,aston villa,norwich,2015/2016,exact_key
343,3754307,2016-04-23,man city,stoke,2015/2016,exact_key
378,3754308,2016-05-15,watford,sunderland,2015/2016,exact_key
337,3754310,2016-04-20,man united,crystal palace,2015/2016,exact_key
290,3754313,2016-03-12,norwich,man city,2015/2016,exact_key
365,3754314,2016-05-08,man city,arsenal,2015/2016,exact_key
242,3754316,2016-02-06,liverpool,sunderland,2015/2016,exact_key
235,3754317,2016-02-02,norwich,tottenham,2015/2016,exact_key
285,3754318,2016-03-05,tottenham,arsenal,2015/2016,exact_key
193,3754319,2016-01-02,man united,swansea,2015/2016,exact_key
354,3754320,2016-05-01,southampton,man city,2015/2016,exact_key
263,3754321,2016-02-27,stoke,aston villa,2015/2016,exact_key
325,3754322,2016-04-16,chelsea,man city,2015/2016,exact_key
267,3754324,2016-02-28,tottenham,swansea,2015/2016,exact_key
182,3754326,2015-12-28,crystal palace,swansea,2015/2016,exact_key
269,3754327,2016-03-01,aston villa,everton,2015/2016,exact_key
266,3754331,2016-02-27,west ham,sunderland,2015/2016,exact_key
346,3754332,2016-04-25,tottenham,west brom,2015/2016,exact_key
374,3754333,2016-05-15,newcastle,tottenham,2015/2016,exact_key
270,3754334,2016-03-01,bournemouth,southampton,2015/2016,exact_key
215,3754338,2016-01-16,newcastle,west ham,2015/2016,exact_key
237,3754340,2016-02-02,west brom,swansea,2015/2016,exact_key
222,3754341,2016-01-23,leicester,stoke,2015/2016,exact_key
364,3754342,2016-05-08,liverpool,watford,2015/2016,exact_key
218,3754345,2016-01-17,liverpool,man united,2015/2016,exact_key
196,3754346,2016-01-02,watford,man city,2015/2016,exact_key
224,3754348,2016-01-23,norwich,liverpool,2015/2016,exact_key
278,3754349,2016-03-02,west ham,tottenham,2015/2016,exact_key
254,3754350,2016-02-13,everton,west brom,2015/2016,exact_key
119,3754258,2015-11-08,aston villa,man city,2015/2016,exact_key
20,3754020,2015-08-17,liverpool,bournemouth,2015/2016,exact_key
16,3754267,2015-08-15,watford,west brom,2015/2016,exact_key
7,3754141,2015-08-09,arsenal,west ham,2015/2016,exact_key
1,3754128,2015-08-08,bournemouth,aston villa,2015/2016,exact_key
2,3754078,2015-08-08,chelsea,swansea,2015/2016,exact_key
